Comunidades y ciudades autónomas;Ramas de actividad;Magnitud;Periodo;Total
Andalucía;F. Construcción;Tasas de variación interanuales;2016;..
Andalucía;F. Construcción;Estructura porcentual;2022(A);5,4
Andalucía;F. Construcción;Estructura porcentual;2021(P);5,6
Andalucía;F. Construcción;Estructura porcentual;2020;6
Andalucía;F. Construcción;Estructura porcentual;2019;6,4
Andalucía;F. Construcción;Estructura porcentual;2018;5,9
Andalucía;F. Construcción;Estructura porcentual;2017;5,7
Andalucía;F. Construcción;Estructura porcentual;2016;5,7
Andalucía;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Valor;2022(A);39.154.967
Andalucía;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Valor;2021(P);31.594.093
Andalucía;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Valor;2020;26.487.461
Andalucía;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Valor;2019;34.808.451
Andalucía;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Valor;2018;33.222.074
Andalucía;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Valor;2017;32.310.850
Andalucía;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Valor;2016;30.792.744
Andalucía;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Tasas de variación interanuales;2022(A);23,9
Andalucía;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Tasas de variación interanuales;2021(P);19,3
Andalucía;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Tasas de variación interanuales;2020;-23,9
Andalucía;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Tasas de variación interanuales;2019;4,8
Andalucía;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Tasas de variación interanuales;2018;2,8
Andalucía;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Tasas de variación interanuales;2017;4,9
Andalucía;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Tasas de variación interanuales;2016;..
Andalucía;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Estructura porcentual;2022(A);21,7
Andalucía;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Estructura porcentual;2021(P);19,3
Andalucía;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Estructura porcentual;2020;17,8
Andalucía;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Estructura porcentual;2019;21,1
Andalucía;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Estructura porcentual;2018;20,7
Andalucía;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Estructura porcentual;2017;20,8
Andalucía;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Estructura porcentual;2016;20,7
Andalucía;J. Información y comunicaciones;Valor;2022(A);3.414.226
Andalucía;J. Información y comunicaciones;Valor;2021(P);3.131.279
Andalucía;J. Información y comunicaciones;Valor;2020;2.939.019
Andalucía;J. Información y comunicaciones;Valor;2019;2.987.256
Andalucía;J. Información y comunicaciones;Valor;2018;2.782.174
Andalucía;J. Información y comunicaciones;Valor;2017;2.771.312
Andalucía;J. Información y comunicaciones;Valor;2016;2.695.091
Andalucía;J. Información y comunicaciones;Tasas de variación interanuales;2022(A);9
Andalucía;J. Información y comunicaciones;Tasas de variación interanuales;2021(P);6,5
Andalucía;J. Información y comunicaciones;Tasas de variación interanuales;2020;-1,6
Andalucía;J. Información y comunicaciones;Tasas de variación interanuales;2019;7,4
Andalucía;J. Información y comunicaciones;Tasas de variación interanuales;2018;0,4
Andalucía;J. Información y comunicaciones;Tasas de variación interanuales;2017;2,8
Andalucía;J. Información y comunicaciones;Tasas de variación interanuales;2016;..
Andalucía;J. Información y comunicaciones;Estructura porcentual;2022(A);1,9
Andalucía;J. Información y comunicaciones;Estructura porcentual;2021(P);1,9
Andalucía;J. Información y comunicaciones;Estructura porcentual;2020;2
Andalucía;J. Información y comunicaciones;Estructura porcentual;2019;1,8
Andalucía;J. Información y comunicaciones;Estructura porcentual;2018;1,7
Andalucía;J. Información y comunicaciones;Estructura porcentual;2017;1,8
Andalucía;J. Información y comunicaciones;Estructura porcentual;2016;1,8
Andalucía;K. Actividades financieras y de seguros;Valor;2022(A);6.293.537
Andalucía;K. Actividades financieras y de seguros;Valor;2021(P);5.554.191
Andalucía;K. Actividades financieras y de seguros;Valor;2020;5.524.922
Andalucía;K. Actividades financieras y de seguros;Valor;2019;5.282.605
Andalucía;K. Actividades financieras y de seguros;Valor;2018;5.377.396
Andalucía;K. Actividades financieras y de seguros;Valor;2017;4.897.470
Andalucía;K. Actividades financieras y de seguros;Valor;2016;4.715.545
Andalucía;K. Actividades financieras y de seguros;Tasas de variación interanuales;2022(A);13,3
Andalucía;K. Actividades financieras y de seguros;Tasas de variación interanuales;2021(P);0,5
Andalucía;K. Actividades financieras y de seguros;Tasas de variación interanuales;2020;4,6
Andalucía;K. Actividades financieras y de seguros;Tasas de variación interanuales;2019;-1,8
Andalucía;K. Actividades financieras y de seguros;Tasas de variación interanuales;2018;9,8
Andalucía;K. Actividades financieras y de seguros;Tasas de variación interanuales;2017;3,9
Andalucía;K. Actividades financieras y de seguros;Tasas de variación interanuales;2016;..
Andalucía;K. Actividades financieras y de seguros;Estructura porcentual;2022(A);3,5
Andalucía;K. Actividades financieras y de seguros;Estructura porcentual;2021(P);3,4
Andalucía;K. Actividades financieras y de seguros;Estructura porcentual;2020;3,7
Andalucía;K. Actividades financieras y de seguros;Estructura porcentual;2019;3,2
Andalucía;K. Actividades financieras y de seguros;Estructura porcentual;2018;3,3
Andalucía;K. Actividades financieras y de seguros;Estructura porcentual;2017;3,2
Andalucía;K. Actividades financieras y de seguros;Estructura porcentual;2016;3,2
Andalucía;L. Actividades inmobiliarias;Valor;2022(A);20.646.955
Andalucía;L. Actividades inmobiliarias;Valor;2021(P);19.747.665
Andalucía;L. Actividades inmobiliarias;Valor;2020;19.211.915
Andalucía;L. Actividades inmobiliarias;Valor;2019;19.116.983
Andalucía;L. Actividades inmobiliarias;Valor;2018;18.520.417
Andalucía;L. Actividades inmobiliarias;Valor;2017;17.912.196
Andalucía;L. Actividades inmobiliarias;Valor;2016;17.686.728
Andalucía;L. Actividades inmobiliarias;Tasas de variación interanuales;2022(A);4,6
Andalucía;L. Actividades inmobiliarias;Tasas de variación interanuales;2021(P);2,8
Andalucía;L. Actividades inmobiliarias;Tasas de variación interanuales;2020;0,5
