Agregados macroeconómicos;Total CNAE;CNAE Agrupación A10;CNAE Agrupación A21;CNAE Agrupación A64;Periodo;Total
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;02 Silvicultura y explotación forestal;1998;1.221
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;02 Silvicultura y explotación forestal;1997;1.038
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;02 Silvicultura y explotación forestal;1996;918
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;02 Silvicultura y explotación forestal;1995;843
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;03 Pesca y acuicultura;2024;..
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;03 Pesca y acuicultura;2023;3.208
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;03 Pesca y acuicultura;2022;3.106
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;03 Pesca y acuicultura;2021;3.416
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;03 Pesca y acuicultura;2020;2.824
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;03 Pesca y acuicultura;2019;3.067
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;03 Pesca y acuicultura;2018;3.328
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;03 Pesca y acuicultura;2017;3.288
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;03 Pesca y acuicultura;2016;3.106
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;03 Pesca y acuicultura;2015;3.050
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;03 Pesca y acuicultura;2014;3.129
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;03 Pesca y acuicultura;2013;2.949
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;03 Pesca y acuicultura;2012;2.990
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;03 Pesca y acuicultura;2011;3.061
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;03 Pesca y acuicultura;2010;2.777
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;03 Pesca y acuicultura;2009;2.834
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;03 Pesca y acuicultura;2008;2.757
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;03 Pesca y acuicultura;2007;2.939
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;03 Pesca y acuicultura;2006;2.798
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;03 Pesca y acuicultura;2005;2.789
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;03 Pesca y acuicultura;2004;2.980
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;03 Pesca y acuicultura;2003;2.712
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;03 Pesca y acuicultura;2002;2.775
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;03 Pesca y acuicultura;2001;2.731
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;03 Pesca y acuicultura;2000;2.633
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;03 Pesca y acuicultura;1999;2.726
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;03 Pesca y acuicultura;1998;2.610
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;03 Pesca y acuicultura;1997;2.519
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;03 Pesca y acuicultura;1996;2.491
Producción;Total CNAE;A Agricultura, ganadería, silvicultura y pesca;A Agricultura, ganadería, silvicultura y pesca;03 Pesca y acuicultura;1995;2.349
Producción;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;;;2024;130.381
Producción;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;;;2023;131.804
Producción;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;;;2022;152.856
Producción;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;;;2021;111.099
Producción;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;;;2020;93.486
Producción;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;;;2019;101.965
Producción;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;;;2018;99.756
Producción;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;;;2017;93.971
Producción;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;;;2016;89.795
Producción;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;;;2015;99.041
Producción;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;;;2014;105.015
Producción;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;;;2013;105.670
Producción;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;;;2012;103.528
Producción;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;;;2011;100.653
Producción;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;;;2010;104.168
Producción;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;;;2009;90.125
Producción;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;;;2008;100.763
Producción;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;;;2007;86.815
Producción;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;;;2006;79.005
Producción;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;;;2005;68.881
Producción;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;;;2004;57.364
Producción;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;;;2003;53.249
Producción;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;;;2002;49.332
Producción;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;;;2001;45.529
Producción;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;;;2000;41.121
Producción;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;;;1999;36.632
Producción;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;;;1998;33.429
Producción;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;;;1997;33.027
