Agregados macroeconómicos;Total CNAE;CNAE Agrupación A10;CNAE Agrupación A21;CNAE Agrupación A64;Periodo;Total
Valor añadido bruto;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;2010;5.897
Valor añadido bruto;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;2009;5.222
Valor añadido bruto;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;2008;5.232
Valor añadido bruto;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;2007;4.865
Valor añadido bruto;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;2006;4.544
Valor añadido bruto;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;2005;4.128
Valor añadido bruto;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;2004;3.735
Valor añadido bruto;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;2003;3.579
Valor añadido bruto;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;2002;3.417
Valor añadido bruto;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;2001;3.002
Valor añadido bruto;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;2000;2.630
Valor añadido bruto;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;1999;2.365
Valor añadido bruto;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;1998;2.011
Valor añadido bruto;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;1997;1.748
Valor añadido bruto;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;1996;1.552
Valor añadido bruto;Total CNAE;BDE Industrias extractivas, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;1995;1.366
Valor añadido bruto;Total CNAE;C Industria manufacturera;;;2024;172.896
Valor añadido bruto;Total CNAE;C Industria manufacturera;;;2023;164.020
Valor añadido bruto;Total CNAE;C Industria manufacturera;;;2022;151.730
Valor añadido bruto;Total CNAE;C Industria manufacturera;;;2021;139.066
Valor añadido bruto;Total CNAE;C Industria manufacturera;;;2020;122.556
Valor añadido bruto;Total CNAE;C Industria manufacturera;;;2019;134.106
Valor añadido bruto;Total CNAE;C Industria manufacturera;;;2018;130.788
Valor añadido bruto;Total CNAE;C Industria manufacturera;;;2017;130.043
Valor añadido bruto;Total CNAE;C Industria manufacturera;;;2016;122.996
Valor añadido bruto;Total CNAE;C Industria manufacturera;;;2015;119.732
Valor añadido bruto;Total CNAE;C Industria manufacturera;;;2014;114.259
Valor añadido bruto;Total CNAE;C Industria manufacturera;;;2013;111.450
Valor añadido bruto;Total CNAE;C Industria manufacturera;;;2012;112.007
Valor añadido bruto;Total CNAE;C Industria manufacturera;;;2011;119.709
Valor añadido bruto;Total CNAE;C Industria manufacturera;;;2010;119.716
Valor añadido bruto;Total CNAE;C Industria manufacturera;;;2009;121.547
Valor añadido bruto;Total CNAE;C Industria manufacturera;;;2008;137.888
Valor añadido bruto;Total CNAE;C Industria manufacturera;;;2007;135.843
Valor añadido bruto;Total CNAE;C Industria manufacturera;;;2006;131.369
Valor añadido bruto;Total CNAE;C Industria manufacturera;;;2005;125.316
Valor añadido bruto;Total CNAE;C Industria manufacturera;;;2004;120.560
Valor añadido bruto;Total CNAE;C Industria manufacturera;;;2003;117.206
Valor añadido bruto;Total CNAE;C Industria manufacturera;;;2002;113.885
Valor añadido bruto;Total CNAE;C Industria manufacturera;;;2001;110.960
Valor añadido bruto;Total CNAE;C Industria manufacturera;;;2000;105.341
Valor añadido bruto;Total CNAE;C Industria manufacturera;;;1999;97.146
Valor añadido bruto;Total CNAE;C Industria manufacturera;;;1998;92.106
Valor añadido bruto;Total CNAE;C Industria manufacturera;;;1997;86.582
Valor añadido bruto;Total CNAE;C Industria manufacturera;;;1996;80.050
Valor añadido bruto;Total CNAE;C Industria manufacturera;;;1995;74.961
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;;2024;172.896
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;;2023;164.020
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;;2022;151.730
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;;2021;139.066
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;;2020;122.556
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;;2019;134.106
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;;2018;130.788
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;;2017;130.043
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;;2016;122.996
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;;2015;119.732
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;;2014;114.259
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;;2013;111.450
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;;2012;112.007
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;;2011;119.709
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;;2010;119.716
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;;2009;121.547
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;;2008;137.888
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;;2007;135.843
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;;2006;131.369
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;;2005;125.316
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;;2004;120.560
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;;2003;117.206
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;;2002;113.885
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;;2001;110.960
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;;2000;105.341
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;;1999;97.146
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;;1998;92.106
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;;1997;86.582
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;;1996;80.050
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;;1995;74.961
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2024;..
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2023;34.193
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2022;30.093
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2021;25.025
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2020;23.924
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2019;25.333
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2018;23.761
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2017;25.002
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2016;24.351
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2015;24.035
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2014;23.693
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2013;23.723
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2012;24.208
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2011;24.832
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2010;23.975
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2009;23.520
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2008;23.743
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2007;22.649
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2006;20.596
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2005;20.069
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2004;18.099
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2003;17.263
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2002;16.032
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2001;15.295
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2000;14.564
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;1999;14.490
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;1998;13.774
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;1997;13.424
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;1996;12.926
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;1995;12.613
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;13-15 Industria textil, confección de prendas de vestir e industria del cuero y del calzado;2024;..
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;13-15 Industria textil, confección de prendas de vestir e industria del cuero y del calzado;2023;9.584
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;13-15 Industria textil, confección de prendas de vestir e industria del cuero y del calzado;2022;8.266
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;13-15 Industria textil, confección de prendas de vestir e industria del cuero y del calzado;2021;8.267
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;13-15 Industria textil, confección de prendas de vestir e industria del cuero y del calzado;2020;7.630
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;13-15 Industria textil, confección de prendas de vestir e industria del cuero y del calzado;2019;8.794
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;13-15 Industria textil, confección de prendas de vestir e industria del cuero y del calzado;2018;9.105
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;13-15 Industria textil, confección de prendas de vestir e industria del cuero y del calzado;2017;9.356
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;13-15 Industria textil, confección de prendas de vestir e industria del cuero y del calzado;2016;9.027
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;13-15 Industria textil, confección de prendas de vestir e industria del cuero y del calzado;2015;8.715
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;13-15 Industria textil, confección de prendas de vestir e industria del cuero y del calzado;2014;8.263
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;13-15 Industria textil, confección de prendas de vestir e industria del cuero y del calzado;2013;8.170
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;13-15 Industria textil, confección de prendas de vestir e industria del cuero y del calzado;2012;7.987
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;13-15 Industria textil, confección de prendas de vestir e industria del cuero y del calzado;2011;8.833
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;13-15 Industria textil, confección de prendas de vestir e industria del cuero y del calzado;2010;7.921
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;13-15 Industria textil, confección de prendas de vestir e industria del cuero y del calzado;2009;7.742
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;13-15 Industria textil, confección de prendas de vestir e industria del cuero y del calzado;2008;8.744
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;13-15 Industria textil, confección de prendas de vestir e industria del cuero y del calzado;2007;8.641
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;13-15 Industria textil, confección de prendas de vestir e industria del cuero y del calzado;2006;8.587
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;13-15 Industria textil, confección de prendas de vestir e industria del cuero y del calzado;2005;8.241
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;13-15 Industria textil, confección de prendas de vestir e industria del cuero y del calzado;2004;8.303
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;13-15 Industria textil, confección de prendas de vestir e industria del cuero y del calzado;2003;8.528
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;13-15 Industria textil, confección de prendas de vestir e industria del cuero y del calzado;2002;8.138
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;13-15 Industria textil, confección de prendas de vestir e industria del cuero y del calzado;2001;8.106
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;13-15 Industria textil, confección de prendas de vestir e industria del cuero y del calzado;2000;7.576
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;13-15 Industria textil, confección de prendas de vestir e industria del cuero y del calzado;1999;7.426
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;13-15 Industria textil, confección de prendas de vestir e industria del cuero y del calzado;1998;7.300
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;13-15 Industria textil, confección de prendas de vestir e industria del cuero y del calzado;1997;6.866
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;13-15 Industria textil, confección de prendas de vestir e industria del cuero y del calzado;1996;6.397
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;13-15 Industria textil, confección de prendas de vestir e industria del cuero y del calzado;1995;5.959
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;2024;..
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;2023;2.913
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;2022;2.898
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;2021;2.508
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;2020;1.955
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;2019;2.091
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;2018;2.017
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;2017;1.931
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;2016;1.668
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;2015;1.607
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;2014;1.474
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;2013;1.494
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;2012;1.602
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;2011;1.803
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;2010;2.009
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;2009;2.184
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;2008;2.974
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;2007;3.020
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;2006;2.960
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;2005;2.768
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;2004;2.637
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;2003;2.609
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;2002;2.596
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;2001;2.556
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;2000;2.531
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;1999;2.422
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;1998;2.303
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;1997;2.119
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;1996;2.026
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;16 Industria de la madera y del corcho, excepto muebles, cestería y espartería;1995;1.920
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;17 Industria del papel;2024;..
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;17 Industria del papel;2023;4.780
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;17 Industria del papel;2022;4.139
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;17 Industria del papel;2021;3.801
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;17 Industria del papel;2020;3.697
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;17 Industria del papel;2019;3.957
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;17 Industria del papel;2018;3.830
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;17 Industria del papel;2017;3.681
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;17 Industria del papel;2016;3.423
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;17 Industria del papel;2015;3.362
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;17 Industria del papel;2014;3.003
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;17 Industria del papel;2013;3.398
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;17 Industria del papel;2012;3.476
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;17 Industria del papel;2011;3.647
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;17 Industria del papel;2010;3.545
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;17 Industria del papel;2009;3.206
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;17 Industria del papel;2008;3.507
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;17 Industria del papel;2007;3.507
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;17 Industria del papel;2006;3.275
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;17 Industria del papel;2005;3.206
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;17 Industria del papel;2004;3.177
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;17 Industria del papel;2003;3.136
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;17 Industria del papel;2002;3.200
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;17 Industria del papel;2001;3.156
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;17 Industria del papel;2000;2.975
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;17 Industria del papel;1999;2.799
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;17 Industria del papel;1998;2.769
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;17 Industria del papel;1997;2.713
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;17 Industria del papel;1996;2.621
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;17 Industria del papel;1995;2.780
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;18 Artes gráficas y reproducción de soportes grabados;2024;..
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;18 Artes gráficas y reproducción de soportes grabados;2023;2.535
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;18 Artes gráficas y reproducción de soportes grabados;2022;2.303
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;18 Artes gráficas y reproducción de soportes grabados;2021;2.116
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;18 Artes gráficas y reproducción de soportes grabados;2020;1.907
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;18 Artes gráficas y reproducción de soportes grabados;2019;2.273
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;18 Artes gráficas y reproducción de soportes grabados;2018;2.229
Valor añadido bruto;Total CNAE;C Industria manufacturera;C Industria manufacturera;18 Artes gráficas y reproducción de soportes grabados;2017;2.211
